video_id,description,view_count,like_count,comment_count,share_count,upload_date,hashtags,url,scraped_at,video_type
7700000000005000000,you are enough #motivation #selflove #fyp,12564,1166,29,201,2025-08-03,#motivation #selflove #fyp,https://www.tiktok.com/@judith/video/7700000000005000000,2026-06-10T12:00:00,Motivation
7700000000005000001,you are enough #motivation #selflove #fyp,13179,1611,33,127,2025-08-06,#motivation #selflove #fyp,https://www.tiktok.com/@judith/video/7700000000005000001,2026-06-10T12:00:00,Motivation
7700000000005000002,real talk tonight #motivation #selflove #fyp,7625,661,27,49,2025-08-10,#motivation #selflove #fyp,https://www.tiktok.com/@judith/video/7700000000005000002,2026-06-10T12:00:00,Motivation
7700000000005000003,real talk tonight #motivation #selflove #fyp,6420,895,33,176,2025-08-14,#motivation #selflove #fyp,https://www.tiktok.com/@judith/video/7700000000005000003,2026-06-10T12:00:00,Motivation
7700000000005000004,real talk tonight #motivation #selflove #fyp,11179,825,35,82,2025-08-18,#motivation #selflove #fyp,https://www.tiktok.com/@judith/video/7700000000005000004,2026-06-10T12:00:00,Motivation
7700000000005000005,you are enough #motivation #selflove #fyp,6365,831,21,107,2025-08-22,#motivation #selflove #fyp,https://www.tiktok.com/@judith/video/7700000000005000005,2026-06-10T12:00:00,Motivation
7700000000005000006,real talk tonight #motivation #selflove #fyp,7254,988,32,181,2025-08-26,#motivation #selflove #fyp,https://www.tiktok.com/@judith/video/7700000000005000006,2026-06-10T12:00:00,Motivation
7700000000005000007,you are enough #motivation #selflove #fyp,13633,1834,24,152,2025-08-28,#motivation #selflove #fyp,https://www.tiktok.com/@judith/video/7700000000005000007,2026-06-10T12:00:00,Motivation
7700000000005000008,you are enough #motivation #selflove #fyp,4678,606,27,60,2025-09-01,#motivation #selflove #fyp,https://www.tiktok.com/@judith/video/7700000000005000008,2026-06-10T12:00:00,Motivation
7700000000005000009,you are enough #motivation #selflove #fyp,13823,1827,21,293,2025-09-04,#motivation #selflove #fyp,https://www.tiktok.com/@judith/video/7700000000005000009,2026-06-10T12:00:00,Motivation
7700000000005000010,you are enough #motivation #selflove #fyp,8009,696,31,47,2025-09-07,#motivation #selflove #fyp,https://www.tiktok.com/@judith/video/7700000000005000010,2026-06-10T12:00:00,Motivation
7700000000005000011,lets talk about insecurity #motivation #selflove #fyp,11081,876,29,78,2025-09-09,#motivation #selflove #fyp,https://www.tiktok.com/@judith/video/7700000000005000011,2026-06-10T12:00:00,Motivation
7700000000005000012,lets talk about insecurity #motivation #selflove #fyp,6389,448,20,65,2025-09-11,#motivation #selflove #fyp,https://www.tiktok.com/@judith/video/7700000000005000012,2026-06-10T12:00:00,Motivation
7700000000005000013,real talk tonight #motivation #selflove #fyp,6019,565,24,67,2025-09-14,#motivation #selflove #fyp,https://www.tiktok.com/@judith/video/7700000000005000013,2026-06-10T12:00:00,Motivation
7700000000005000014,lets talk about insecurity #motivation #selflove #fyp,5643,483,28,39,2025-09-16,#motivation #selflove #fyp,https://www.tiktok.com/@judith/video/7700000000005000014,2026-06-10T12:00:00,Motivation
7700000000005000015,trend check #dance #naija #fyp,4694,311,13,36,2025-09-18,#dance #naija #fyp,https://www.tiktok.com/@judith/video/7700000000005000015,2026-06-10T12:00:00,Engagement / Growth
7700000000005000016,dance break #dance #naija #fyp,2762,218,11,41,2025-09-21,#dance #naija #fyp,https://www.tiktok.com/@judith/video/7700000000005000016,2026-06-10T12:00:00,Engagement / Growth
7700000000005000017,trend check #dance #naija #fyp,4334,471,16,32,2025-09-24,#dance #naija #fyp,https://www.tiktok.com/@judith/video/7700000000005000017,2026-06-10T12:00:00,Engagement / Growth
7700000000005000018,trend check #dance #naija #fyp,3778,377,12,50,2025-09-26,#dance #naija #fyp,https://www.tiktok.com/@judith/video/7700000000005000018,2026-06-10T12:00:00,Engagement / Growth
7700000000005000019,naija dance vibes #dance #naija #fyp,2963,317,16,62,2025-09-29,#dance #naija #fyp,https://www.tiktok.com/@judith/video/7700000000005000019,2026-06-10T12:00:00,Engagement / Growth
7700000000005000020,dance break #dance #naija #fyp,3656,502,11,37,2025-10-03,#dance #naija #fyp,https://www.tiktok.com/@judith/video/7700000000005000020,2026-06-10T12:00:00,Engagement / Growth
