comment_id,video_id,comment_text,like_count,author_username,comment_date,scraped_at,original_text,language
7639030848864240406,7628554889295187232,😍😍😍,0,sellynna3,2026-05-12T15:41:31+00:00,2026-05-26T21:34:43.956616+00:00,,en
7624408223948260128,7623547468596137249,"Oh, nice!🥰 what do you do with the ginger? 🫚",1,channamasala2,2026-04-03T05:58:12+00:00,2026-05-26T21:34:59.835526+00:00,"Oh, schön!🥰 was machst du mit dem Ingwer? 🫚",de
7627556986791576327,7623547468596137249,🥰,1,sweetsagittarious,2026-04-11T17:36:49+00:00,2026-05-26T21:34:59.835526+00:00,,en
7623593985932624672,7623547468596137249,💖💖💖,1,kittysaurus99,2026-04-01T01:19:24+00:00,2026-05-26T21:34:59.835526+00:00,,en
7628690774309487382,7623547468596137249,👍👍👍,0,nashiegerard,2026-04-14T18:56:32+00:00,2026-05-26T21:34:59.835526+00:00,,en
7618570337260733217,7618552622630341910,5,1,terablink,2026-03-18T12:24:10+00:00,2026-05-26T21:35:18.828360+00:00,,en
7613894396395815702,7613875585495862550,"Honestly, same",1,yetundetaiwo717,2026-03-05T21:59:05+00:00,2026-05-26T21:35:55.714026+00:00,,en
7614032442409157399,7613875585495862550,"No for real. I can't even think anymore, I'm living in complete delusion",0,swissatthirty,2026-03-06T06:55:04+00:00,2026-05-26T21:35:55.714026+00:00,,en
7634296761557664544,7613875585495862550,💜,0,beautysalongeorges,2026-04-29T21:30:51+00:00,2026-05-26T21:35:55.714026+00:00,,en
7565074333026042627,7565060431761640726,oh damn😝,0,xxcelxxnaxx2003,2025-10-25T08:32:26+00:00,2026-05-26T21:36:12.713049+00:00,oh damn😝,id
7565582462786781965,7565060431761640726,🥰🥰🥰,0,geminiqueencc33,2025-10-26T17:24:44+00:00,2026-05-26T21:36:12.713049+00:00,,en
7565767230756422422,7565060431761640726,That view looks so yummy🥰,0,swissatthirty,2025-10-27T05:21:30+00:00,2026-05-26T21:36:12.713049+00:00,,en
7560986607080833814,7560021643737795842,Simple but yummy 🥰,0,swissatthirty,2025-10-14T08:10:00+00:00,2026-05-26T21:36:28.625240+00:00,,en
7593234568968700703,7560021643737795842,🔥🔥🔥,0,jvara15,2026-01-09T05:50:15+00:00,2026-05-26T21:36:28.625240+00:00,,en
7560043695921578774,7560021643737795842,love this looks yummy xx,2,samanthawilkes09,2025-10-11T19:10:52+00:00,2026-05-26T21:36:28.625240+00:00,,en
7557596307872105238,7557311915052059926,That looks so good 🥰,0,swissatthirty,2025-10-05T04:54:16+00:00,2026-05-26T21:36:48.207471+00:00,That looks so good 🥰,so
7557433911963812622,7557311915052059926,💯❤,0,tr3nnah,2025-10-04T18:24:09+00:00,2026-05-26T21:36:48.207471+00:00,,en
7555211568038282006,7555187696642149654,So creamy and fresh 🥰,0,swissatthirty,2025-09-28T18:39:44+00:00,2026-05-26T21:37:07.848538+00:00,,en
7555191304386642711,7555187696642149654,No thanks 🙈🙈🙈,0,paulazaneleachlei,2025-09-28T17:21:03+00:00,2026-05-26T21:37:07.848538+00:00,,en
7581475765909881622,7554338232624827670,🥰🥰🥰,0,jadwiga.buchajczy,2025-12-08T13:18:14+00:00,2026-05-26T21:37:25.595606+00:00,,en
7554568528452485943,7554338232624827670,🥰🥰🥰,0,geminiqueencc33,2025-09-27T01:04:27+00:00,2026-05-26T21:37:25.595606+00:00,,en
7556359542860415767,7554338232624827670,yummy,0,swissatthirty,2025-10-01T20:54:28+00:00,2026-05-26T21:37:25.595606+00:00,yummy,tr
7553487288660935479,7553434079404821782,Let's spread it on bread please 😘,1,45nauri,2025-09-24T03:09:02+00:00,2026-05-26T21:37:44.344627+00:00,,en
7553537478918767382,7553434079404821782,Oh and on that fresh bread you made.. yummy,0,swissatthirty,2025-09-24T06:23:36+00:00,2026-05-26T21:37:44.344627+00:00,,en
7553169919891604246,7553083949875072278,yummy,1,swissatthirty,2025-09-23T06:37:14+00:00,2026-05-26T21:38:02.883120+00:00,yummy,tr
7552106696563802902,7552088674876394774,Under 1 min? Yeah right,1,arcmmc1,2025-09-20T09:51:14+00:00,2026-05-26T21:38:23.076293+00:00,,en
7552248571653014302,7552088674876394774,Looks so good,1,ginairvine1,2025-09-20T19:02:05+00:00,2026-05-26T21:38:23.076293+00:00,Looks so good,af
7555759092536574742,7552088674876394774,Looks amazing,0,swissatthirty,2025-09-30T06:04:40+00:00,2026-05-26T21:38:23.076293+00:00,Looks amazing,et
7552927565523600183,7552088674876394774,Looks delicious ✨,0,esteeevan,2025-09-22T14:57:08+00:00,2026-05-26T21:38:23.076293+00:00,Looks delicious ✨,nl
7552108385118864150,7552088674876394774,What kind of 1 minute do you have ?,8,jazmn1111,2025-09-20T09:57:46+00:00,2026-05-26T21:38:23.076293+00:00,,en
7552606150920553230,7552088674876394774,👑👑👑,0,kaiyahu,2025-09-21T18:09:57+00:00,2026-05-26T21:38:23.076293+00:00,,en
7552107631710044950,7552088674876394774,It takes me like 5 mins just to crack the crackers,2,luckycattrose,2025-09-20T09:54:58+00:00,2026-05-26T21:38:23.076293+00:00,,en
7551667021461717782,7551650987832904982,Yummy 🥰🥰🥰,1,swissatthirty,2025-09-19T05:25:11+00:00,2026-05-26T21:38:41.362213+00:00,,en
7551686446320632598,7551650987832904982,Italian here. excellent version. you can put much more pasta in each layer and some salsiccia and spices with the minced meat.,1,bunnytheterrorist,2025-09-19T06:40:38+00:00,2026-05-26T21:38:41.362213+00:00,,en
7551667479522542359,7551650987832904982,"It's been a while friend, hope all is well.",1,swissatthirty,2025-09-19T05:26:59+00:00,2026-05-26T21:38:41.362213+00:00,,en
7551730386918589206,7551650987832904982,😍,1,temuperson4,2025-09-19T09:31:09+00:00,2026-05-26T21:38:41.362213+00:00,,en
7477563092383482646,7477554393101995286,Cute ❤️❤️❤️,1,signedbyvidhya,2025-03-03T12:44:12+00:00,2026-05-26T21:38:59.907402+00:00,Cute ❤️❤️❤️,ro
7477700828478341910,7477554393101995286,Happy new month 💖,0,sellynna3,2025-03-03T21:38:37+00:00,2026-05-26T21:38:59.907402+00:00,,en
